   ,HOST_EXT_ID,WT_A_1_WGT,WT_A_2_WGT,WT_A_3_WGT,WT_A_4_WGT,WT_A_5_WGT,WT_A_6_WGT,WT_A_7_WGT,WT_F_1_WGT,WT_F_2_WGT,WT_F_3_WGT,WT_F_4_WGT,WT_F_5_WGT,WT_F_6_WGT,WT_F_7_WGT,WT_P_1_WGT,WT_P_2_WGT,WT_P_3_WGT,WT_P_4_WGT,WT_P_5_WGT,WT_P_6_WGT,WT_P_7_WGT,WT_A_1_CUBE,WT_A_2_CUBE,WT_A_3_CUBE,WT_A_4_CUBE,WT_A_5_CUBE,WT_A_6_CUBE,WT_A_7_CUBE,WT_F_1_CUBE,WT_F_2_CUBE,WT_F_3_CUBE,WT_F_4_CUBE,WT_F_5_CUBE,WT_F_6_CUBE,WT_F_7_CUBE,WT_P_1_CUBE,WT_P_2_CUBE,WT_P_3_CUBE,WT_P_4_CUBE,WT_P_5_CUBE,WT_P_6_CUBE,WT_P_7_CUBE
54,S-6650,8768.325,12443.7383,12806.311,0,12253.8591,9464.7376,11495.8564,0,3191.9519,2858.2936,0,4696.7556,3268.9054,3631.502,11744.7865,9519.0597,9878.7937,0,6764.2422,12907.4097,0,541.8182,712.5231,836.8914,0,768.7729,598.9178,638.7807,0,239.9246,216.0526,0,351.7447,258.1457,268.5635,785.0183,655.7602,653.5877,0,418.6022,920.2758,0
55,S-6670,7548.9714,13895.606,14242.1614,0,18483.955,10744.6339,15425.844,0,3121.5278,0,3094.445,3902.1344,4042.0279,3860.415,9186.9573,10925.0158,13993.2423,0,17308.5046,13455.0911,14081.2934,444.8346,819.701,920.6744,0,1064.9257,720.5119,882.3253,0,249.4911,0,243.7993,379.1375,332.8071,269.8107,620.9595,692.7682,920.699,0,1186.2827,900.2271,967.189
56,S-904,6814.836,10452.0337,0,15375.765,8566.1492,9178.5964,8149.7673,0,3850.8199,1717.716,4543.881,1301.7422,3802.3274,4364.5606,11513.2434,9397.3024,9479.3087,10379.7295,7230.448,10890.2683,10903.2861,404.353,607.6713,0,1119.3918,522.7721,594.9119,481.1524,0,279.2058,142.2239,324.2041,105.9759,278.9704,305.572,673.9478,645.0169,571.5004,639.2672,500.2099,664.4914,701.531
57,S-929,9899.3785,14839.6674,0,14685.9147,11884.2965,11140.5582,11776.6807,5041.7793,4488.7555,0,5990.2281,6244.254,5377.6012,0,6730.1004,10019.7456,10325.9779,6238.8083,14507.3024,8924.7641,13132.57,549.2697,834.006,0,857.7507,655.6518,571.897,709.2011,388.355,343.436,0,448.177,467.2323,416.0237,0,447.4851,633.7604,700.8895,432.1765,937.7137,616,842.9212
58,S-951,0,9428.9017,15474.0113,0,14018.9617,0,10886.9839,0,4110.957,3467.9963,0,4737.2076,0,3404.4851,9651.4543,13078.5408,0,12210.7944,11781.284,11495.5231,6297.3579,0,641.9745,1134.065,0,906.8889,0,675.163,0,353.5396,275.5277,0,365.5608,0,268.5605,599.5829,894.917,0,798.5047,764.1707,768.2272,439.6755
59,S-956,0,12918.9508,0,8377.1839,8053.7327,10763.3944,7264.3123,3411.9147,5319.7749,3521.2844,0,4906.8066,4291.2981,4811.4318,10684.1903,9516.6538,10296.2172,13068.1425,16569.9389,12474.2093,5108.5816,0,924.954,0,529.9242,474.7597,582.0828,420.5862,225.6954,430.6637,277.6832,0,371.1142,340.7624,356.933,729.1431,564.9632,686.6046,866.6241,1156.2845,833.3427,348.4004
60,S-962,12992.2468,8574.1082,0,9354.6971,6808.7697,13268.8591,0,4725.8418,4144.6685,0,5909.4699,5120.3207,4508.0774,3911.8121,11292.2344,13707.9107,0,15155.9455,16756.0215,12303.4825,5122.3636,799.5932,658.128,0,557.1407,374.2326,719.3349,0,417.8186,316.5123,0,443.1252,388.4521,334.4531,321.3078,748.067,850.9177,0,969.141,1077.3781,794.7231,344.0837
61,S-145,0,17196.6285,0,14010.67,15291.7809,15948.1673,15634.6956,4047.5338,3379.4969,4298.3234,0,4990.1367,5543.7827,4176.6671,0,10258.3618,15526.4515,0,17688.6701,11469.1073,17440.9029,0,1062.1136,0,880.4953,942.4096,1001.0689,836.6085,337.9846,274.3369,324.0723,0,378.1559,451.5073,329.142,0,621.9868,1039.0278,0,1226.8157,771.5039,1177.6634
62,S-148,8162.2757,4765.4719,0,8896.6528,7029.8524,7745.1053,0,0,2827.0743,3274.3365,0,4138.3172,0,3000.0118,5400.2218,7136.2294,8857.6234,0,11026.8189,7550.4256,10493.934,482.2322,298.779,0,603.6227,432.6063,452.9271,0,0,244.7275,241.737,0,303.6197,0,223.8046,377.7875,474.4608,587.9081,0,745.2297,486.4732,699.1179
63,S-2221,0,7398.098,8794.145,0,9868.4793,8562.9734,10159.8259,0,3158.8955,0,0,3525.0532,0,2864.5667,8561.3364,9637.5862,9952.216,9866.6623,9876.0982,11964.5502,0,0,443.2952,569.2512,0,605.3643,479.3344,646.5189,0,238.4865,0,0,260.7287,0,207.3539,538.4279,604.5952,598.5391,631.3507,554.7734,763.7148,0
