"   ","HOST_EXT_ID","WT_A_1_WGT","WT_A_2_WGT","WT_A_3_WGT","WT_A_4_WGT","WT_A_5_WGT","WT_A_6_WGT","WT_A_7_WGT","WT_F_1_WGT","WT_F_2_WGT","WT_F_3_WGT","WT_F_4_WGT","WT_F_5_WGT","WT_F_6_WGT","WT_F_7_WGT","WT_P_1_WGT","WT_P_2_WGT","WT_P_3_WGT","WT_P_4_WGT","WT_P_5_WGT","WT_P_6_WGT","WT_P_7_WGT","WT_A_1_CUBE","WT_A_2_CUBE","WT_A_3_CUBE","WT_A_4_CUBE","WT_A_5_CUBE","WT_A_6_CUBE","WT_A_7_CUBE","WT_F_1_CUBE","WT_F_2_CUBE","WT_F_3_CUBE","WT_F_4_CUBE","WT_F_5_CUBE","WT_F_6_CUBE","WT_F_7_CUBE","WT_P_1_CUBE","WT_P_2_CUBE","WT_P_3_CUBE","WT_P_4_CUBE","WT_P_5_CUBE","WT_P_6_CUBE","WT_P_7_CUBE"
"35","S-6630","0","7907.8986","31222.9584","0","19110.5099","0","29020.5385","0","5778.8889","0","5301.1215","0","6513.0065","0","0","15902.5623","27531.6608","0","28954.1652","0","32240.905","0","419.4164","2641.511","0","1381.7274","0","1612.2306","0","479.2664","0","443.7468","0","526.8395","0","0","998.3356","2015.6209","0","2181.4856","0","2743.2328"
"36","S-6679","0","13783.1633","28542.838","0","22606.415","0","21578.0051","0","7563.1453","0","5895.974","0","8187.9668","0","0","23939.079","19327.4307","0","25736.59","0","46812.1906","0","868.2041","2566.5674","0","1431.5732","0","1329.8321","0","591.2448","0","462.6673","0","650.6674","0","0","1451.0667","1328.8414","0","1802.5326","0","4389.3608"
"37","S-6682","0","15395.1768","30743.6366","0","27699.4911","0","23385.0768","0","0","8969.8713","0","8304.6508","0","7044.4441","0","27478.6424","18555.9895","0","31926.5387","0","37480.534","0","870.2438","2635.5863","0","1911.3544","0","1415.0227","0","0","655.2713","0","649.9293","0","548.4115","0","1674.8876","1314.7579","0","2375.634","0","3780.6914"
"38","S-78","0","54535.9622","0","0","51119.6182","0","50380.0683","17473.7589","0","0","18820.6637","0","16479.4132","0","71405.0406","0","0","47793.5993","0","57743.4419","0","0","3544.1469","0","0","3110.851","0","3700.0172","1318.3613","0","0","1398.7927","0","1164.8123","0","5293.5701","0","0","3403.1759","0","4371.0911","0"
"39","S-915","0","65934.0329","0","0","62041.2086","0","55029.809","22243.9777","0","0","17218.8294","0","17326.22","0","84402.8898","9746.3101","0","69361.5423","0","89388.2242","0","0","4531.0991","0","0","3976.9668","0","3815.7156","1666.6414","0","0","1314.0683","0","1329.9972","0","6479.0026","709.8181","0","5486.6695","0","6658.3876","0"
"40","S-920","0","103202.627","111732.1714","0","133190.4338","0","137854.6157","40980.534","0","39738.5963","0","47622.0751","0","36262.1469","137159.4762","0","121222.3316","0","183824.4622","0","117171.1373","0","6509.4327","7604.4589","0","8862.5331","0","8818.476","2896.7041","0","2785.6387","0","3454.5855","0","2580.5732","9186.9489","0","7742.6228","0","12002.0076","0","8179.9398"
"41","S-932","78093.0982","108514.0111","77482.4338","81352.0752","0","110172.2068","78622.3629","0","0","55953.7031","0","60054.8236","0","52457.8482","116961.0194","163442.8144","0","176167.8996","0","143727.2395","75075.0273","4720.8962","8040.0081","4613.3565","5300.7187","0","6825.0779","5737.5306","0","0","4241.8143","0","4611.6762","0","4046.5879","7912.567","11221.5388","0","12007.9129","0","9792.6851","6096.8541"
"42","S-952","140956.4429","169707.2428","0","250447.2496","0","194629.7865","171827.3271","43521.2721","63337.0003","0","0","64987.4906","0","55068.62","193209.4882","109972.4016","217060.0138","0","180804.8535","208313.5485","101949.6911","8342.2303","10694.4177","0","18488.9844","0","12357.0283","9964.261","3169.3703","4549.4465","0","0","4574.962","0","3951.9953","11970.9073","7585.9366","14434.432","0","11890.1846","13933.0497","7363.3299"
"43","S-968","59129.6592","61878.075","0","46909.4523","0","78608.6737","0","0","0","25676.6518","0","34548.292","0","27674.6366","90681.9936","0","73202.8526","34896.0205","0","98992.4109","0","3413.5297","4529.2246","0","3127.1878","0","5121.3338","0","0","0","1875.3492","0","2594.8509","0","2086.3297","7099.1914","0","5212.6046","2857.9987","0","7336.2702","0"
"44","S-981","0","135719.7057","0","206851.7483","0","0","182759.0966","0","45062.1654","0","57934.1377","0","0","52040.8046","0","165140.6902","0","160352.9714","0","119924.2332","190503.1428","0","8535.1548","0","14523.3135","0","0","11650.7845","0","3211.582","0","4218.5037","0","0","3816.1138","0","10992.2206","0","10823.5294","0","7922.814","13027.3738"
